TITULO,ANO,NOMES_AJUSTADOS
A FRAMEWORK FOR ONLINE MOBILITY PATTERN DISCOVERY FROM TRAJECTORY DATA STREAMS,2016,"['MARCO ANTONIO CASANOVA', 'TICIANA LINHARES COELHO DA SILVA']"
A FRAMEWORK FOR ROBOTIC ARM POSE ESTIMATION AND MOVEMENT PREDICTION BASED ON DEEP AND EXTREME LEARNING MODELS,2022,"['DJAMEL FAWZI HADJ SADOK', 'JUDITH KELNER']"
A FRAMEWORK FOR THE DESIGN OF FAULTTOLERANT SYSTEMSOFSYSTEMS,2024,"['VANIA DE OLIVEIRA NEVES', 'ELISA YUMI NAKAGAWA']"
A FRAMEWORK FOR VISUALIZING HCI PATTERN LANGUAGES THROUGH NETWORK DIAGRAMS,2022,"['ISABEL HARB MANSSOUR', 'MILENE SELBACH SILVEIRA', 'MARCIO SARROGLIA PINHO']"
A FRAMEWORK TO COMPUTE ENTITY RELATEDNESS IN LARGE RDF KNOWLEDGE BASES,2022,"['LUIZ ANDRE PORTES PAES LEME', 'MARCO ANTONIO CASANOVA']"
A FUZZY CLASSIFIER FOR DATA STREAMS WITH INFINITELY DELAYED LABELS,2018,"['HELOISA DE ARRUDA CAMARGO', 'VINICIUS MOURAO ALVES DE SOUZA']"
A FUZZY INTRUSION DETECTION SYSTEM FOR IDENTIFYING CYBERATTACKS ON IOT NETWORKS,2020,"['HELOISA DE ARRUDA CAMARGO', 'RODOLFO IPOLITO MENEGUETTE']"
A FUZZY SCHEDULER FOR MAS APPLIED TO OBJECT TRACKING,2023,"['DJAMEL FAWZI HADJ SADOK', 'JUDITH KELNER']"
A FUZZY SEMANTIC FOR BDI LOGIC,2021,"['BENJAMIN RENE CALLEJAS BEDREGAL', 'REGIVAN HUGO NUNES SANTIAGO']"
A GAMIFICATION PROPOSAL TO SUPPORT THE ONBOARDING OF NEWCOMERS IN THE FLOSSCOACH PORTAL,2018,['SABRINA DOS SANTOS MARCZAK']
A GENERAL FRAMEWORK FOR PATH CONVEXITIES,2019,"['UEVERTON DOS SANTOS SOUZA', 'FABIO PROTTI']"
A GENERAL FRAMEWORK FOR PATH CONVEXITIES CONFERENCE VERSION,2019,"['UEVERTON DOS SANTOS SOUZA', 'FABIO PROTTI']"
A GENERAL FRAMEWORK TO EXPAND SHORT TEXT FOR TOPIC MODELING,2017,"['ANISIO MENDES LACERDA', 'GISELE LOBO PAPPA']"
A GENERIC AND EFFICIENT FRAMEWORK FOR FLASHAWARE SPATIAL INDEXING,2019,"['CRISTINA DUTRA DE AGUIAR', 'RICARDO RODRIGUES CIFERRI']"
A GENERIC AND EFFICIENT FRAMEWORK FOR SPATIAL INDEXING ON FLASHBASED SOLID STATE DRIVES,2017,"['CRISTINA DUTRA DE AGUIAR', 'RICARDO RODRIGUES CIFERRI']"
A GENERIC PROCESSING IN MEMORY CYCLE ACCURATE SIMULATOR UNDER HYBRID MEMORY CUBE ARCHITECTURE,2017,"['MARCO ANTONIO ZANATA ALVES', 'LUIGI CARRO']"
A GENETIC PROGRAMMING FRAMEWORK TO SCHEDULE WEBPAGE UPDATES,2015,"['ALTIGRAN SOARES DA SILVA', 'NIVIO ZIVIANI', 'EDLENO SILVA DE MOURA']"
A GEOGRAPHICLAYERED DATA MIDDLEWARE FOR SMART CITIES,2018,"['NELIO ALESSANDRO AZEVEDO CACHO', 'EVERTON RANIELLY DE SOUSA CAVALCANTE', 'THAIS VASCONCELOS BATISTA']"
A GEOMETRIC APPROACH TO SPECTRAL ANALYSIS,2019,"['SILVIO DE BARROS MELO', 'FABIANO SILVA']"
A GPU IMPLEMENTATION OF THE PCG METHOD FOR LARGESCALE IMAGEBASED FINITE ELEMENT ANALYSIS IN HETEROGENEOUS PERIODIC MEDIA,2022,"['RICARDO LEIDERMAN', 'ANDRE MAUES BRABO PEREIRA', 'ESTEBAN WALTER GONZALEZ CLUA']"
A GPUACCELERATED LOCAL SEARCH ALGORITHM FOR THE CORRELATION CLUSTERING PROBLEM,2015,"['LUCIA MARIA DE ASSUMPCAO DRUMMOND', 'YURI ABITBOL DE MENEZES FROTA']"
A GPUBASED METAHEURISTIC FOR WORKFLOW SCHEDULING ON CLOUDS,2018,"['LUCIA MARIA DE ASSUMPCAO DRUMMOND', 'YURI ABITBOL DE MENEZES FROTA']"
A GRAMTICA DE GRAFOS COMO ALTERNATIVA PARA O DESENVOLVIMENTO DO PENSAMENTO COMPUTACIONAL NA EDUCAO BSICA,2015,"['SIMONE ANDRE DA COSTA CAVALHEIRO', 'LUCIANA FOSS']"
A GRAMTICA DE GRAFOS COMO UMA ALTERNATIVA PARA O DESENVOLVIMENTO DO PENSAMENTO COMPUTACIONAL NA EDUCAO BSICA,2016,"['SIMONE ANDRE DA COSTA CAVALHEIRO', 'LUCIANA FOSS']"
A GRAPH KNOWLEDGEBASE FOR AUDITING HUMAN RESOURCES PUBLIC MANAGEMENT,2022,"['SERGIO LIFSCHITZ', 'EDWARD HERMANN HAEUSLER']"
A GRAPH TRANSFORMATION SYSTEM FORMALISM FOR CORRECTNESS OF TRANSACTIONAL MEMORY ALGORITHMS,2021,"['ANDRE RAUBER DU BOIS', 'LUCIANA FOSS']"
A GRAPH TRANSFORMATION SYSTEM FORMALISM FOR SOFTWARE TRANSACTIONAL MEMORY OPACITY,2019,"['ANDRE RAUBER DU BOIS', 'LUCIANA FOSS']"
A GRAPHICS PROCESSING UNIT ALGORITHM TO SOLVE THE QUADRATIC ASSIGNMENT PROBLEM USING LEVEL2 REFORMULATIONLINEARIZATION TECHNIQUE,2017,"['RICARDO FARIAS', 'LUCIA MARIA DE ASSUMPCAO DRUMMOND']"
A GRASP FOR THE CONVEX RECOLORING PROBLEM IN GRAPHS,2019,"['ZANONI DIAS', 'CID CARVALHO DE SOUZA']"
A GROUND TRUTH CONTEST BETWEEN MODULARITY MAXIMIZATION AND MODULARITY DENSITY MAXIMIZATION,2020,"['LUIS DA CUNHA LAMB', 'RAFAEL DE SANTIAGO']"
A GUIDANCE SYSTEM FOR BLIND AND VISUALLY IMPAIRED PEOPLE VIA HYBRID DATA FUSION,2018,"['VICENTE FERREIRA DE LUCENA JUNIOR', 'LUCIANO SILVA']"
A GUIDELINE PROPOSAL FOR MINIMIZING CYBERSICKNESS IN VRBASED SERIOUS GAMES AND APPLICATIONS,2022,"['DANIELA GORSKI TREVISAN', 'ESTEBAN WALTER GONZALEZ CLUA']"
A HADOOP OPEN SOURCE BACKUP SOLUTION,2018,"['MARISTELA TERTO DE HOLANDA', 'ALETEIA PATRICIA FAVACHO DE ARAUJO']"
A HARDWARE AND SOFTWARE WEB BASED ENVIRONMENT TO ENERGY CONSUMPTION ANALYSIS IN MULTIPLE DEVICES,2016,"['ABEL GUILHERMINO DA SILVA FILHO', 'DANIEL CARVALHO DA CUNHA']"
A HARDWARE ARCHITECTURE FOR AN HEVC MOTION COMPENSATION LUMINANCE INTERPOLATOR,2015,"['BRUNO ZATT', 'LUCIANO VOLCAN AGOSTINI']"
A HARDWARE ARCHITECTURE FOR THE AV1 INTRA FRAME PREDICTION USING OPERATION SHARING,2021,"['GUILHERME RIBEIRO CORREA', 'LUCIANO VOLCAN AGOSTINI']"
A HARDWARE DESIGN FOR LINEAR EQUATION SYSTEM SOLVING OF VVC AFFINE ME,2023,"['MARCELO SCHIAVON PORTO', 'LUCIANO VOLCAN AGOSTINI']"
A HARDWARE DESIGN FOR THE AV1 PAETH AND SMOOTH INTRA PREDICTION MODES TARGETING UHD VIDEOS,2019,"['BRUNO ZATT', 'LUCIANO VOLCAN AGOSTINI']"
A HARDWAREFRIENDLY AND CONFIGURABLE HEURISTIC TARGETING VVC INTERFRAME PREDICTION,2022,"['GUILHERME RIBEIRO CORREA', 'LUCIANO VOLCAN AGOSTINI']"
A HEIGHT ESTIMATION APPROACH FOR TERRAIN FOLLOWING FLIGHTS FROM MONOCULAR VISION,2016,"['LUIZ CHAIMOWICZ', 'ERICKSON RANGEL DO NASCIMENTO']"
A HETEROGENEOUS APPROACH FOR BIOLOGICAL SEQUENCE COMPARISON USING HIGHLEVEL SYNTHESIS,2021,"['ALBA CRISTINA MAGALHAES ALVES DE MELO', 'JORGE CARLOS LUCERO']"
A HETEROGENEOUS NETWORKBASED POSITIVE AND UNLABELED LEARNING APPROACH TO DETECTING FAKE NEWS,2021,"['RICARDO MARCONDES MARCACINI', 'SOLANGE OLIVEIRA REZENDE']"
A HEURISTIC APPROACH FOR ONLINE DISCOVERY OF UNIDENTIFIED SPATIAL CLUSTERS FROM GRIDBASED STREAMING ALGORITHMS,2016,"['MARKUS ENDLER', 'MARCO ANTONIO CASANOVA', 'HELIO CORTES VIEIRA LOPES']"
A HEURISTIC FOR THE CONVEX RECOLORING PROBLEM IN GRAPHS,2020,"['ZANONI DIAS', 'CID CARVALHO DE SOUZA']"
A HIERARCHICAL APPROACH TO SOLVE A PRODUCTION PLANNING AND SCHEDULING PROBLEM IN BULK CARGO TERMINAL,2016,"['GERALDO ROBSON MATEUS', 'MARTIN GOMEZ RAVETTI']"
A HIERARCHICAL ARCHITECTURAL MODEL FOR NETWORK SECURITY EXPLORING SITUATIONAL AWARENESS,2019,"['ADENAUER CORREA YAMIN', 'ANA MARILZA PERNAS FLEISCHMANN']"
A HIERARCHICAL NEURAL NETWORK FOR PREDICTING PROTEIN FUNCTIONS,2015,"['JULIO CESAR NIEVOLA', 'EMERSON CABRERA PARAISO']"
A HIERARCHICAL SUPERPIXELBASED APPROACH FOR DIBR VIEW SYNTHESIS,2021,"['THIAGO LOPES TRUGILLO DA SILVEIRA', 'CLAUDIO ROSITO JUNG', 'MARCELO WALTER']"
A HIGH THROUGHPUT HARDWARE ARCHITECTURE TARGETING THE AV1 PAETH INTRA PREDICTOR,2019,"['DANIEL MUNARI VILCHEZ PALOMINO', 'LUCIANO VOLCAN AGOSTINI']"
A HIGHLEVEL DSL FOR GEOSPATIAL VISUALIZATIONS WITH MULTICORE PARALLELISM SUPPORT,2017,"['LUIZ GUSTAVO LEAO FERNANDES', 'DALVAN JAIR GRIEBLER', 'ISABEL HARB MANSSOUR']"
A HIGHLEVEL INFORMATION FUSION FRAMEWORK USING INDIRECT SENSING FOR INTERNET OF BIONANO THINGS,2023,"['CLAUDIO MICELI DE FARIAS', 'FLAVIA COIMBRA DELICATO']"
A HIGHLY ACCURATE LEVEL SET APPROACH FOR SEGMENTING GREEN MICROALGAE IMAGES,2015,"['VINICIUS RUELA PEREIRA BORGES', 'MARIA CRISTINA FERREIRA DE OLIVEIRA']"
A HIGHTHROUGHPUT DESIGN FOR THE H266VVC LOWFREQUENCY NONSEPARABLE TRANSFORM,2022,"['BRUNO ZATT', 'LUCIANO VOLCAN AGOSTINI']"
A HIGHTHROUGHPUT HARDWARE ARCHITECTURE FOR AV1 NONDIRECTIONAL INTRA MODES,2020,"['GUILHERME RIBEIRO CORREA', 'DANIEL MUNARI VILCHEZ PALOMINO', 'LUCIANO VOLCAN AGOSTINI']"
A HIGHTHROUGHPUT HARDWARE DESIGN FOR THE AV1 DECODER INTRAPREDICTION,2023,"['BRUNO ZATT', 'MARCELO SCHIAVON PORTO', 'LUCIANO VOLCAN AGOSTINI']"
A HOLE FILLING HEURISTIC FOR THE NESTING PROBLEM WITH CONTINUOUS ROTATIONS,2015,"['MARINA ANDRETTA', 'FRANKLINA MARIA BRAGION DE TOLEDO']"
A HOLISTIC APPROACH TO CHALLENGES IN INDUSTRY 40,2018,"['CLAUDIO MICELI DE FARIAS', 'DANIEL CARVALHO DA CUNHA']"
A HOSPITAL BED ALLOCATION HYBRID MODEL BASED ON SITUATION AWARENESS,2018,"['RODRIGO DA ROSA RIGHI', 'CRISTIANO ANDRE DA COSTA', 'SANDRO JOSE RIGO']"
A HYBRID CLOUDP2P ARCHITECTURE FOR MULTIMEDIA INFORMATION RETRIEVAL ON VOD SERVICES,2016,"['FABIO KON', 'RENATA WASSERMANN']"
A HYBRID CNNLSTM MODEL FOR IIOT EDGE PRIVACYAWARE INTRUSION DETECTION,2022,"['MICHELE NOGUEIRA LIMA', 'ALDRI LUIZ DOS SANTOS', 'DANIEL MACEDO BATISTA', 'ROBERTO HIRATA JUNIOR']"
A HYBRID CNNLSTM MODEL FOR IIOT EDGE PRIVACYAWARE INTRUSION DETECTION TO APPEAR,2022,"['MICHELE NOGUEIRA LIMA', 'ALDRI LUIZ DOS SANTOS', 'DANIEL MACEDO BATISTA', 'ROBERTO HIRATA JUNIOR']"
A HYBRID EVOLUTIONARY ALGORITHM FOR TASK SCHEDULING AND DATA ASSIGNMENT OF DATAINTENSIVE SCIENTIFIC WORKFLOWS ON CLOUDS,2017,"['DANIEL CARDOSO MORAES DE OLIVEIRA', 'LUCIA MARIA DE ASSUMPCAO DRUMMOND']"
A HYBRID GENETIC ALGORITHM FOR IMAGE DENOISING,2015,"['HELIO PEDRINI', 'CLAUDIO FABIANO MOTTA TOLEDO']"
A HYBRID HEURISTIC ALGORITHM FOR THE DIALARIDE PROBLEM,2019,"['PUCA HUACHI VAZ PENNA', 'MARCONE JAMILSON FREITAS SOUZA']"
A HYBRID HEURISTIC BASED ON ITERATED LOCAL SEARCH FOR MULTIVEHICLE INVENTORY ROUTING PROBLEM,2015,"['LUIZ SATORU OCHI', 'LUIDI GELABERT SIMONETTI', 'PEDRO HENRIQUE GONZALEZ SILVA']"
A HYBRID HEURISTIC FOR A BROAD CLASS OF VEHICLE ROUTING PROBLEMS WITH HETEROGENEOUS FLEET,2019,"['LUIZ SATORU OCHI', 'PUCA HUACHI VAZ PENNA']"
A HYBRID HEURISTIC FOR CAPACITATED THREELEVEL LOTSIZING AND REPLENISHMENT PROBLEMS WITH A DISTRIBUTION STRUCTURE,2022,"['GERALDO ROBSON MATEUS', 'RAFAEL AUGUSTO DE MELO']"
A HYBRID ITERATED LOCAL SEARCH AND VARIABLE NEIGHBORHOOD DESCENT HEURISTIC APPLIED TO THE CELL FORMATION PROBLEM,2015,"['LUIZ SATORU OCHI', 'FABIO PROTTI']"
A HYBRID ITERATED LOCAL SEARCH HEURISTIC FOR THE TRAVELING SALESPERSON PROBLEM WITH HOTEL SELECTION,2021,"['LUIZ SATORU OCHI', 'SIMONE DE LIMA MARTINS', 'PEDRO HENRIQUE GONZALEZ SILVA']"
A HYBRID MACHINE LEARNING APPROACH FOR MOBILE USER POSITIONING IN CELLULAR NETWORKS,2017,"['GEORGE DARMITON DA CUNHA CAVALCANTI', 'DANIEL CARVALHO DA CUNHA']"
A HYBRID METAHEURISTIC FOR THE TRAVELING CAR RENTER SALESMAN PROBLEM,2017,"['MARCO CESAR GOLDBARG', 'ELIZABETH FERREIRA GOUVEA']"
A HYBRID PARTICLE SWARM OPTIMIZATION AND HARMONY SEARCH ALGORITHM APPROACH FOR MULTIOBJECTIVE TEST CASE SELECTION,2015,"['RICARDO BASTOS CAVALCANTE PRUDENCIO', 'FLAVIA DE ALMEIDA BARROS']"
A HYBRID RFID AND CV SYSTEM FOR ITEMLEVEL LOCALIZATION OF STATIONARY OBJECTS,2017,['FABIANO PASSUELO HESSEL']
A HYBRID VARIABLE NEIGHBORHOOD SEARCH ALGORITHM FOR TARGETED OFFERS IN DIRECT MARKETING,2015,"['IGOR MACHADO COELHO', 'MARCONE JAMILSON FREITAS SOUZA']"
A HYPERHEURISTIC FOR THE MULTIOBJECTIVE INTEGRATION AND TEST ORDER PROBLEM,2015,"['SILVIA REGINA VERGILIO', 'AURORA TRINIDAD RAMIREZ POZO']"
A HYPERVISOR APPROACH WITH REALTIME SUPPORT TO THE MIPS M5150 PROCESSOR,2015,['FABIANO PASSUELO HESSEL']
A IMPORTNCIA DOS CURSOS COMPLEMENTARES NA FORMAO DOS PROFISSIONAIS DA REA DE TECNOLOGIA DA INFORMAO,2023,['AFONSO HENRIQUE CORREA DE SALES']
A INTEGRAO DA MATEMTICA E DO PENSAMENTO COMPUTACIONAL NA EDUCAO,2017,"['SIMONE ANDRE DA COSTA CAVALHEIRO', 'LUCIANA FOSS']"
A INTERNET DAS COISAS EST PREPARADA PARA MOBILIDADE,2021,"['ANTONIO ALFREDO FERREIRA LOUREIRO', 'LUIZ FILIPE MENEZES VIEIRA', 'BRUNO PEREIRA DOS SANTOS']"
A JOINT ANYPATH ROUTING AND DUTYCYCLING MODEL FOR SUSTAINABLE UNDERWATER SENSOR NETWORKS,2019,"['ANTONIO ALFREDO FERREIRA LOUREIRO', 'LUIZ FILIPE MENEZES VIEIRA']"
A JOURNEY TO IDENTIFY USERS CLASSIFICATION STRATEGIES TO CUSTOMIZE GAMEBASED AND GAMIFIED LEARNING ENVIRONMENTS,2024,"['SEIJI ISOTANI', 'BRUNO FREITAS GADELHA']"
A KEY RISK INDICATOR FOR THE GAME USAGE LIFECYCLE,2017,"['JULIO CESAR NIEVOLA', 'EMERSON CABRERA PARAISO']"
A KEYPOINT DETECTOR BASED ON VISUAL AND DEPTH FEATURES,2016,"['ERICKSON RANGEL DO NASCIMENTO', 'MARIO FERNANDO MONTENEGRO CAMPOS']"
A KINECTBASED WEARABLE FACE RECOGNITION SYSTEM TO AID VISUALLY IMPAIRED USERS,2016,"['MARIA CECILIA CALANI BARANAUSKAS', 'ANDERSON DE REZENDE ROCHA']"
A KNAPSACK METHODOLOGY FOR HARDWAREBASED DMR PROTECTION AGAINST SOFT ERRORS IN SUPERSCALAR OUTOFORDER PROCESSORS,2019,"['ANTONIO CARLOS SCHNEIDER BECK FILHO', 'GABRIEL LUCA NAZAR', 'LUCIANO VOLCAN AGOSTINI']"
A KNOWLEDGE BASE OF PUBLIC ACTS BASED ON THE GRAMMAR OF THE OFFICIAL GAZETTE,2022,"['SERGIO LIFSCHITZ', 'EDWARD HERMANN HAEUSLER']"
A KNOWLEDGE ORGANIZATION SYSTEM FOR IMAGE CLASSIFICATION AND RETRIEVAL IN PETROLEUM EXPLORATION DOMAIN,2019,"['EDUARDO SIMOES LOPES GASTAL', 'MARA ABEL']"
A KRAS SMALL GTPASE MODEL PROVIDES INSIGHTS INTO MOLECULAR MECHANISMS OF FGF2INDUCED CELL CYCLE ARREST IN WTKRASDRIVEN TUMOR CELLS,2018,"['JUNIOR BARRERA', 'MARCELO DA SILVA REIS']"
A LABELLED NATURAL DEDUCTION SYSTEM FOR AN INTUITIONISTIC DESCRIPTION LOGIC WITH NOMINALS,2022,"['EDWARD HERMANN HAEUSLER', 'CLAUDIA NALON']"
A LABELSCALED SIMILARITY MEASURE FOR CONTENTBASED IMAGE RETRIEVAL,2016,"['CAETANO TRAINA JUNIOR', 'AGMA JUCI MACHADO TRAINA']"
A LAPAROSCOPYBASED METHOD FOR BRDF ESTIMATION FROM IN VIVO HUMAN LIVER,2016,"['ANDERSON MACIEL', 'MARCELO WALTER']"
A LARGE SCALE BENCHMARK FOR SESSIONBASED RECOMMENDATIONS ON THE LEGAL DOMAIN,2023,"['ALTIGRAN SOARES DA SILVA', 'EDLENO SILVA DE MOURA']"
A LARGESCALE EVALUATION OF A RUBRIC FOR THE AUTOMATIC ASSESSMENT OF ALGORITHMS AND PROGRAMMING CONCEPTS,2020,"['CHRISTIANE ANNELIESE GRESSE VON WANGENHEIM', 'JEAN CARLO ROSSA HAUCK']"
A LARGESCALE STUDY ABOUT QUALITY AND REPRODUCIBILITY OF JUPYTER NOTEBOOKS,2019,"['LEONARDO GRESTA PAULINO MURTA', 'VANESSA BRAGANHOLO MURTA']"
A LATE ACCEPTANCE HILLCLIMBING HEURISTIC ALGORITHM FOR THE DOUBLE VEHICLE ROUTING PROBLEM WITH MULTIPLE STACK AND HETEROGENEOUS DEMAND,2018,"['PUCA HUACHI VAZ PENNA', 'MARCONE JAMILSON FREITAS SOUZA']"
A LATE ACCEPTANCE HILLCLIMBING HEURISTIC ALGORITHM FOR THE DOUBLE VEHICLE ROUTING PROBLEM WITH MULTIPLE STACKS AND HETEROGENEOUS DEMAND,2018,"['PUCA HUACHI VAZ PENNA', 'MARCONE JAMILSON FREITAS SOUZA']"
A LATENT SHAREDCOMPONENT GENERATIVE MODEL FOR REALTIME DISEASE SURVEILLANCE USING TWITTER DATA,2015,"['WAGNER MEIRA JUNIOR', 'RENATO MARTINS ASSUNCAO']"
A LEARNINGBASED FRAMEWORK FOR DEPTH PERCEPTION USING DENSE LIGHT FIELDS,2022,"['BRUNO ZATT', 'LUCIANO VOLCAN AGOSTINI']"
A LIBRARY AND WEB PLATFORM FOR ROBOCUP SOCCER MATCHES DATA ANALYSIS,2023,"['PAULO SALGADO GOMES DE MATTOS NETO', 'ADENILTON JOSE DA SILVA', 'TSANG ING REN']"
A LIBRARY FOR SERVICES TRANSPARENT REPLICATION,2019,"['ODORICO MACHADO MENDIZABAL', 'CRISTINA MEINHARDT', 'FERNANDO LUIS DOTTI']"
A LIGA DO PENSAMENTO COMPUTACIONAL UMA NARRATIVA DISTPICA PARA GAMIFICAR UMA DISCIPLINA INTRODUTRIA DE COMPUTAO,2023,"['LETICIA MARA PERES', 'ROBERTO PEREIRA', 'FABIANO SILVA']"
A LIGHTWEIGHT PLUGANDPLAY ELASTICITY SERVICE FOR SELFORGANIZING RESOURCE PROVISIONING ON PARALLEL APPLICATIONS,2017,"['RODRIGO DA ROSA RIGHI', 'CRISTIANO ANDRE DA COSTA', 'PHILIPPE OLIVIER ALEXANDRE NAVAUX']"
A LIGHTWEIGHT UNSUPERVISED LEARNING ARCHITECTURE TO ENHANCE USER BEHAVIOR ANOMALY DETECTION,2022,"['GERALDO PEREIRA ROCHA FILHO', 'RODOLFO IPOLITO MENEGUETTE']"
A LIGHTWEIGHT VIRTUALIZATION MODEL TO ENABLE EDGE COMPUTING IN DEEPLY EMBEDDED SYSTEMS,2021,['FABIANO PASSUELO HESSEL']
A LINEAR ALGORITHM FOR THE DISTANCE IN CAYLEY GRAPH HLP,2019,"['CELINA MIRAGLIA HERRERA DE FIGUEIREDO', 'LUIS ANTONIO BRASIL KOWADA']"
A LINGUISTIC APPROACH TO IDENTIFY THE AFFECTIVE DIMENSION EXPRESSED IN TEXTUAL MESSAGES,2015,"['JORGE LUIS VICTORIA BARBOSA', 'SANDRO JOSE RIGO']"
A LINKED DATABASED SEMANTIC INFORMATION MODEL FOR SMART CITIES,2019,"['EVERTON RANIELLY DE SOUSA CAVALCANTE', 'THAIS VASCONCELOS BATISTA']"
A LINKED DATABASED SERVICE FOR INTEGRATING HETEROGENEOUS DATA SOURCES IN SMART CITIES,2020,"['EVERTON RANIELLY DE SOUSA CAVALCANTE', 'THAIS VASCONCELOS BATISTA']"
A LITERATURE REVIEW ON INTELLIGENT SERVICES APPLIED TO DISTANCE LEARNING,2021,"['JORGE LUIS VICTORIA BARBOSA', 'SANDRO JOSE RIGO']"
A LOCATIONBASED ARCHITECTURE FOR VIDEO STREAM SELECTION IN THE CONTEXT OF IOMT,2019,"['JOSE VITERBO FILHO', 'DEBORA CHRISTINA MUCHALUAT SAADE']"
A LOGIC FOR STATISTICAL MODEL CHECKING OF DYNAMIC SOFTWARE ARCHITECTURES,2016,"['EVERTON RANIELLY DE SOUSA CAVALCANTE', 'THAIS VASCONCELOS BATISTA']"
A LOGIC FOR THE STATISTICAL MODEL CHECKING OF DYNAMIC SOFTWARE ARCHITECTURES,2016,"['EVERTON RANIELLY DE SOUSA CAVALCANTE', 'THAIS VASCONCELOS BATISTA']"
A LOGICALBASED CORPUS FOR CROSSLINGUAL EVALUATION,2019,"['ROBERTO HIRATA JUNIOR', 'MARCELO FINGER']"
A LONGLASTING REINFORCEMENT LEARNING INTRUSION DETECTION MODEL,2020,"['ALTAIR OLIVO SANTIN', 'EDUARDO KUGLER VIEGAS']"
A LOOK AT THE DESIGN OF LUA,2018,"['ROBERTO IERUSALIMSCHY', 'WALDEMAR CELES FILHO']"
A LOWAREA AND HIGHTHROUGHPUT INTRA PREDICTION ARCHITECTURE FOR A MULTISTANDARD HEVC AND H264AVC VIDEO ENCODER,2015,"['BRUNO ZATT', 'LUCIANO VOLCAN AGOSTINI']"
A LOWCOST BRAMBASED FUNCTION REUSE FOR CONFIGURABLE SOFTCORE PROCESSORS IN FPGAS,2018,"['ANTONIO CARLOS SCHNEIDER BECK FILHO', 'LUIGI CARRO']"
A LOWCOST ELECTRONIC SYSTEM FOR HUMANBODY COMMUNICATION,2020,"['MICHELE NOGUEIRA LIMA', 'ALDRI LUIZ DOS SANTOS']"
A LOWCOST SMART HOME AUTOMATION TO ENHANCE DECISIONMAKING BASED ON FOG COMPUTING AND COMPUTATIONAL INTELLIGENCE,2018,"['GERALDO PEREIRA ROCHA FILHO', 'LEANDRO APARECIDO VILLAS', 'ALAN DEMETRIUS BARIA VALEJO', 'JO UEYAMA']"
A LOWLATENCY CENTRALIZED CONTROLLER FOR MZIBASED OPTICAL INTEGRATED NETWORKS,2015,['FABIANO PASSUELO HESSEL']
A LOWPOWER 8K60FPS HEVC DEBLOCKING FILTER ARCHITECTURE,2018,"['GUILHERME RIBEIRO CORREA', 'LUCIANO VOLCAN AGOSTINI']"
A LTIMA DCADA DO USO DE INTERNET DAS COISAS DURANTE A TRIAGEM DE PACIENTES NO DEPARTAMENTO DE EMERGNCIA  UM MAPEAMENTO SISTEMTICO,2018,"['RODRIGO DA ROSA RIGHI', 'CRISTIANO ANDRE DA COSTA', 'KLEINNER SILVA FARIAS DE OLIVEIRA']"
A LTIMA RVORE A CHEGADA DA FAZENDA APLICANDO GRAMTICA DE GRAFOS COM ATRIBUTOS AO DESENVOLVIMENTO DO PENSAMENTO COMPUTACIONAL,2017,"['SIMONE ANDRE DA COSTA CAVALHEIRO', 'LUCIANA FOSS']"
A LTIMA RVORE DIGITAL A IMPLEMENTAO DE UM JOGO EDUCACIONAL QUE UTILIZA MTODOS FORMAIS PARA ESTIMULAR O PENSAMENTO COMPUTACIONAL,2018,"['SIMONE ANDRE DA COSTA CAVALHEIRO', 'LUCIANA FOSS']"
A LTIMA RVORE O POVO DA CIDADE UTILIZANDO A CONDIO NEGATIVA DE APLICAO EM UM JOGO EDUCACIONAL,2017,"['SIMONE ANDRE DA COSTA CAVALHEIRO', 'LUCIANA FOSS']"
A MACHINE LEARNING APPROACH FOR RELIABILITYAWARE APPLICATION MAPPING FOR HETEROGENEOUS MULTICORES,2020,"['ANTONIO CARLOS SCHNEIDER BECK FILHO', 'GABRIEL LUCA NAZAR']"
A MACHINE LEARNING APPROACH FOR SCHOOL DROPOUT PREDICTION IN BRAZIL,2022,"['ALCEU DE SOUZA BRITTO JR', 'JEAN PAUL BARDDAL']"
A MACHINE LEARNING BASED SYSTEM FOR MULTISENSOR 3D LOCALIZATION OF STATIONARY OBJECTS,2018,['FABIANO PASSUELO HESSEL']
A MACHINE LEARNING FRAMEWORK PREDICTS THE CLINICAL SEVERITY OF HEMOPHILIA B CAUSED BY POINTMUTATIONS,2022,"['TATIANE NOGUEIRA RIOS', 'RICARDO ARAUJO RIOS']"
A MACHINE LEARNING PIPELINE FOR EXTRACTING DECISIONSUPPORT FEATURES FROM TRAFFIC SCENES,2022,"['RAFAEL KUNST', 'GABRIEL DE OLIVEIRA RAMOS']"
A MACHINE LEARNING PIPELINE FOR EXTRACTING DECISIONSUPPORT FEATURES FROM TRAFFIC SCENES1,2023,"['RAFAEL KUNST', 'GABRIEL DE OLIVEIRA RAMOS']"
A MACHINE LEARNING TRAINABLE MODEL TO ASSESS THE ACCURACY OF PROBABILISTIC RECORD LINKAGE,2017,"['ROBESPIERRE DANTAS DA ROCHA PITA', 'MARCOS ENNES BARRETO']"
A MACHINE LEARNINGBASED OPTIMIZATION FOR ENDTOEND LATENCY IN TSN NETWORKS,2022,"['DJAMEL FAWZI HADJ SADOK', 'JUDITH KELNER']"
