TITULO,ANO,NOMES_AJUSTADOS
A BIG DATA ARCHITECTURE FOR SECURITY DATA AND ITS APPLICATION TO PHISHING CHARACTERIZATION,2016,"['WAGNER MEIRA JUNIOR', 'DORGIVAL OLAVO GUEDES NETO']"
A BIN PACKING PROBLEM WITH CONFLICTS ARISING IN HAZARDOUS MATERIALS TRANSPORTATION,2015,"['LUIZ SATORU OCHI', 'YURI ABITBOL DE MENEZES FROTA']"
A BIOINSPIRED TECHNIQUE FOR ENERGYAWARE FPGAS ON BODY AREA NETWORKS,2015,"['MICHELE NOGUEIRA LIMA', 'ALDRI LUIZ DOS SANTOS']"
A BLOCKCHAINBASED ENDTOEND DATA PROTECTION MODEL FOR PERSONAL HEALTH RECORDS SHARING A FULLY HOMOMORPHIC ENCRYPTION APPROACH,2023,"['RODRIGO DA ROSA RIGHI', 'CRISTIANO ANDRE DA COSTA']"
A BLOCKCHAINBASED PROTOCOL FOR TRACKING USER ACCESS TO SHARED MEDICAL IMAGING,2022,"['JO UEYAMA', 'RODOLFO IPOLITO MENEGUETTE']"
A BOOSTINGBASED APPROACH FOR REMOTE SENSING MULTIMODAL IMAGE CLASSIFICATION,2016,"['ARNALDO DE ALBUQUERQUE ARAUJO', 'JEFERSSON ALEX DOS SANTOS']"
A BOOTSTRAPBASED ITERATIVE SELECTION FOR ENSEMBLE GENERATION,2015,"['TSANG ING REN', 'GEORGE DARMITON DA CUNHA CAVALCANTI']"
A BOTTOMUP ALGORITHM FOR ANSWERING CONTEXTFREE PATH QUERIES IN GRAPH DATABASES,2018,"['UMBERTO SOUZA DA COSTA', 'MARTIN ALEJANDRO MUSICANTE']"
A BOUNDED SPACE ALGORITHM FOR ONLINE CIRCLE PACKING,2016,"['FLAVIO KEIDI MIYAZAWA', 'RAFAEL CRIVELLARI SALIBA SCHOUERY']"
A BRANCH AND PRICE ALGORITHM TO SOLVE THE INTEGRATED PRODUCTION PLANNING AND SCHEDULING IN BULK PORTS,2017,"['GERALDO ROBSON MATEUS', 'MARTIN GOMEZ RAVETTI']"
A BRANCHANDCUT ALGORITHM AND HEURISTICS FOR THE MAXIMUM WEIGHT SPANNING STAR FOREST PROBLEM,2017,"['RAFAEL AUGUSTO DE MELO', 'LUIDI GELABERT SIMONETTI']"
A BRANCHANDCUT APPROACH FOR THE CAR RENTER SALES MAN PROBLEM,2018,"['LUIDI GELABERT SIMONETTI', 'PEDRO HENRIQUE GONZALEZ SILVA']"
A BRANCHANDCUTANDPRICE ALGORITHM FOR THE TWOECHELON CAPACITATED VEHICLE ROUTING PROBLEM,2015,"['GERALDO ROBSON MATEUS', 'ALEXANDRE SALLES DA CUNHA']"
A BRANCHANDPRICE ALGORITHM FOR THE SINGLEPATH VIRTUAL NETWORK EMBEDDING PROBLEM,2018,"['LUCIANO PASCHOAL GASPARY', 'LUCIANA SALETE BURIOL']"
A BRAZILIAN SPEECH DATABASE,2018,"['ALCEU DE SOUZA BRITTO JR', 'LUIZ EDUARDO SOARES DE OLIVEIRA']"
A BRIEF HISTORY OF HEURISTICS FROM BOUNDED RATIONALITY TO INTRACTABILITY,2020,"['LUIZ SATORU OCHI', 'IGOR MACHADO COELHO']"
A CACHE DESIGN ASSESSMENT APPROACH FOR EMBEDDED REALTIME SYSTEMS BASED ON EXECUTION TIME MEASUREMENT,2016,"['EDNA NATIVIDADE DA SILVA BARROS', 'GEORGE MARCONI DE ARAUJO LIMA']"
A CALCULUS FOR AUTOMATIC VERIFICATION OF PETRI NETS BASED ON RESOLUTION AND DYNAMIC LOGICS,2015,"['EDWARD HERMANN HAEUSLER', 'CLAUDIA NALON', 'BRUNO LOPES VIEIRA']"
A CASE STUDY OF BATCH AND INCREMENTAL RECOMMENDER SYSTEMS IN SUPERMARKET DATA UNDER CONCEPT DRIFTS AND COLD START,2021,"['ALCEU DE SOUZA BRITTO JR', 'FABRICIO ENEMBRECK', 'JEAN PAUL BARDDAL']"
A CASE STUDY OF THE AGGREGATION QUERY MODEL IN READMOSTLY NOSQL DOCUMENT STORES,2016,"['DANIEL WEINGAERTNER', 'EDUARDO CUNHA DE ALMEIDA', 'MARCOS DIDONET DEL FABRO']"
A CASE STUDY OF THE DEVELOPMENT OF AN AGENTBASED SIMULATION IN THE TRAFFIC SIGNAL CONTROL DOMAIN USING AN MDD APPROACH,2017,"['INGRID OLIVEIRA DE NUNES', 'ANA LUCIA CETERTICH BAZZAN']"
A CASE STUDY ON THE PERCEPTIONS OF IT PROFESSIONALS DURING THE TRANSITION FROM A TRADITIONAL TO AN AGILE PROCESS MODEL,2021,"['VANIA DE OLIVEIRA NEVES', 'LUCIANA CARDOSO DE CASTRO SALGADO']"
A CATALOGUE OF BAD SMELLS FOR SOFTWARE PROCESS,2018,"['CLAUDIO NOGUEIRA SANTANNA', 'RITA SUZANA PITANGUEIRA MACIEL']"
